E_SWEREF99,N_SWEREF99
473722,7144350
476246,7142943
478044,7146154
477002,7141056
400959,7092077
404603,7082947
585381,7092178
588859,7093924
586091,7095017
586972,7092053
587044,7091986
587392,7094399
588731,7092264
587426,7094457
562236,7087916
587447,7091968
587286,7093393
458726,6838283
461113,6847342
441594,6863156
450306,6885723
450306,6885723
438687,6860729
569426,7039454
563295,7041886
644338,7026055
627418,7056813
628290,7070128
620688,7044544
604490,7077604
617972,7052984
627875,7058296
626141,7059589
624285,7063305
624377,7063320
618842,7044485
605328,7042539
605267,7031165
608993,7036252
602644,7035562
610991,7044457
580416,7074876
579726,7071376
651879,7050444
658060,7054354
657964,7060442
658053,7060725
675848,7039313
677123,7042124
674549,7036571
667410,7041914
675103,7040130
478281,7087203
482915,7097473
484705,7092906
477903,7086778
512032,7125286
511631,7130395
510866,7128176
509378,7127906
540809,7091579
536440,7092867
539167,7092642
541932,7090702
541170,7088468
524376,7108914
518914,7111803
521049,7109877
522892,7110047
529440,7114085
521849,7102278
467200,7098834
466613,7099406
468873,7094089
458023,7105349
404963,7005621
418001,7014010
439611,7005141
419466,7011563
405709,7007573
518537,7137338
522775,7156944
506333,7141254
497564,7138269
515415,7100429
514296,7103086
510258,7119463
508389,7120331
510337,7118514
508276,7112719
509585,7118919
510855,7120597
510828,7118848
511408,7119766
511138,7118375
519849,7055510
